Status,Listing ID,Full Street Address,List Price,Subdivision/Neighborhood,Style,Structure Type,Beds,Bathrooms Full,Bathrooms Half,Levels/Stories,Fireplaces Total,Basement YN,Lot Size SqFt,Year Built,DOM,CDOM,Close Date,Close Price,Concessions Amt 
Closed,MDAA453518,1922 Stone Castle Dr,"$339,900 ",THE PROVINCES,Cape Cod,Detached,4,2,,1.5,1,No,7306,1972,7,7,1/18/2021,"$345,000 ","$9,305 "
Closed,MDAA460772,617 Old Stage Rd,"$347,000 ",GLEN BURNIE PARK,Split Level,Detached,3,1,1,3,,No,6500,1956,11,11,4/16/2021,"$347,000 ","$2,000 "
Closed,MDCR204512,5804 Mineral Hill Rd,"$337,000 ",ROLLING VIEW,Ranch/Rambler,Detached,3,2,,2,1,Yes,15787,1965,4,4,6/18/2021,"$347,007 ",
Closed,MDAA459166,305 Rose Ave,"$325,000 ",GLEN BURNIE HEIGHTS,Raised Ranch/Rambler,Detached,4,4,,2,,Yes,6865,1952,4,4,3/18/2021,"$348,000 ",
Closed,MDAA462766,337 Vale Smt S,"$349,900 ",NONE AVAILABLE,Colonial,Detached,4,1,1,2,,Yes,11700,1963,6,6,5/14/2021,"$349,900 ","$16,000 "
Closed,MDAA453468,703 Carolyn Rd,"$349,900 ",GLEN BURNIE PARK,Cape Cod,Detached,4,2,,1.5,,Yes,6500,1956,4,4,1/21/2021,"$349,900 ",
Closed,MDAA456412,1248 Baliol Ln,"$349,900 ",ODENTON,Ranch/Rambler,Detached,3,2,0,1,,No,19000,1958,4,4,2/10/2021,"$349,900 ","$5,000 "
Closed,MDAA456958,600 Broadview Blvd N,"$349,900 ",GARLAND PARK,Colonial,Detached,3,2,1,3,,Yes,5625,2004,13,13,3/8/2021,"$349,900 ","$14,996 "
Closed,MDAA460244,312 1st Ave SW,"$349,900 ",GLEN BURNIE,Cape Cod,Detached,3,2,,3,1,Yes,7500,1937,16,16,4/26/2021,"$349,900 ",$500 
Closed,MDAA452262,130 Burns Crossing Rd,"$349,900 ",GRANDE VIEW PARK,Colonial,Detached,3,2,1,3,,Yes,10710,2002,13,13,2/10/2021,"$349,900 ","$1,475 "
Closed,MDMC736822,2613 Blueridge Ave,"$350,000 ",WHEATON HILLS,Ranch/Rambler,Detached,2,1,,1,1,No,7079,1949,4,4,1/4/2021,"$350,000 ",
Closed,MDAA464690,888 Brighton Pl,"$330,000 ",TREVOR WOODS,Split Foyer,Detached,3,2,,2,1,Yes,7196,1984,5,5,6/1/2021,"$350,000 ",
Closed,MDAA460562,1602 Pleasantville Dr,"$329,900 ",PLEASANTVILLE,Bungalow,Detached,4,2,,2,,Yes,7620,1959,7,7,4/16/2021,"$350,000 ","$7,000 "
Closed,MDAA457718,3 Woods Ave,"$335,000 ",FERNDALE FARMS,Ranch/Rambler,Detached,3,2,0,2,,Yes,8799,1959,2,2,2/26/2021,"$350,000 ",
Closed,MDHW292852,6862 Happyheart Ln,"$325,000 ",OWEN BROWN VILLAGE,Split Level,Detached,4,2,,2,1,No,7797,1975,4,4,6/4/2021,"$350,000 ",
Closed,MDAA458514,1235 Thompson Ave,"$324,900 ",AA COUNTY,Split Foyer,Detached,3,1,0,2,0,Yes,48352,1977,7,7,3/16/2021,"$350,000 ",
Closed,MDFR278704,10 Centerside Rd,"$350,000 ",MT AIRY VILLAGE,Split Foyer,Detached,4,2,,2,,Yes,5227,1987,6,6,4/27/2021,"$350,000 ","$10,000 "
Closed,MDAA457770,358 Mount Vernon Ave,"$324,990 ",ACADEMY,Raised Ranch/Rambler,Detached,3,2,1,2,1,Yes,6000,1972,4,4,3/24/2021,"$350,000 ",
Closed,MDPG593478,938 Nichols Dr,"$359,900 ",LAUREL GARDENS,Cape Cod,Detached,3,2,1,3,,Yes,6356,1947,38,38,5/10/2021,"$350,000 ",
Closed,MDHW290858,9889 Lyon Ave,"$349,000 ",LAUREL,Bungalow,Detached,3,3,,2,,Yes,7500,1956,15,15,4/21/2021,"$350,000 ","$5,000 "
Closed,MDMC760988,801 Gail Ave,"$370,000 ",ROCKCREST,Cape Cod,Detached,3,2,,2,,No,7510,1940,0,0,6/24/2021,"$350,000 ",
Closed,MDAA456792,7944 Trafalgar Ct,"$335,000 ",THE PROVINCES,Cape Cod,Detached,4,2,0,2,,No,6540,1972,5,5,2/22/2021,"$350,000 ",
Closed,MDAA459702,252 Heartwood Ct,"$339,000 ",ALLWOOD,Ranch/Rambler,Detached,4,2,0,2,,Yes,7200,1971,5,5,5/14/2021,"$350,000 ",
Closed,MDCR203072,1008 Merridale Blvd,"$324,900 ",MERRIDALE GARDENS,Ranch/Rambler,Detached,3,1,2,2,2,Yes,13677,1964,8,8,4/19/2021,"$350,000 ",
Closed,MDHW288076,6866 Happyheart Ln,"$350,000 ",OWEN BROWN VILLAGE,Split Level,Detached,3,1,,2,1,Yes,8668,1976,11,11,1/6/2021,"$350,000 ",$500 
Closed,MDCR204134,1701 Fetlock Ct.,"$399,999 ",HILLTOP,Colonial,Detached,3,3,,3,,Yes,11499,1979,8,8,6/11/2021,"$350,000 ",
Closed,MDBC523758,2110 Drummond Rd,"$350,000 ",ROCKWELL,Colonial,Detached,4,2,1,2,,Yes,8305,1959,6,6,5/20/2021,"$350,000 ",
Closed,MDAA466798,22 Mapledale Ave,"$315,000 ",WOODLAWN HEIGHTS,Cape Cod,Detached,3,2,,3,,Yes,8712,1958,5,5,6/14/2021,"$352,000 ",
Closed,MDHW290300,7312 Willow Glen Way,"$369,999 ",NEW COLONY VILLAGE,Colonial,Detached,3,3,1,3,1,Yes,1989,2001,4,4,4/15/2021,"$353,000 ",
Closed,MDAA454834,21 Linwood Ave,"$353,000 ",WOODLAWN HEIGHTS,Colonial,Detached,3,2,1,3,,Yes,4620,2020,13,13,2/1/2021,"$353,000 ","$8,825 "
Closed,MDMC758434,12702 Hathaway Dr,"$345,000 ",GLENMONT HILLS,Ranch/Rambler,Detached,3,1,,2,,Yes,5685,1950,5,5,6/18/2021,"$355,000 ",
Closed,MDAA453430,476 Nolcrest Rd,"$355,000 ",RIPPLING ESTATES,Ranch/Rambler,Detached,4,2,,2,,Yes,9295,1967,17,17,1/6/2021,"$355,000 ","$5,000 "
Closed,MDFR281458,13530 Penn Shop Rd,"$355,000 ",NONE AVAILABLE,"Bungalow, Traditional",Detached,3,1,1,2,,Yes,40075.2,1959,6,6,6/15/2021,"$355,000 ",
Closed,MDCR202828,6433 Tamarack Cir,"$350,000 ",PINEY RIDGE VILLAGE,Split Level,Detached,3,1,1,3,1,Yes,4500,1984,9,9,4/30/2021,"$355,000 ",
Closed,MDHW290346,9622 Baltimore Ave,"$350,000 ",NORTH LAUREL,Split Level,Detached,3,1,1,3,1,Yes,10497,1961,5,5,3/17/2021,"$355,000 ",
Closed,MDAA461276,800 Old Stage Rd,"$355,000 ",CRAINVIEW GARDENS,Cape Cod,Detached,4,2,1,3,,Yes,8376,1955,12,12,6/4/2021,"$355,000 ",
Closed,MDAA464454,962 Oakdale Cir,"$350,000 ",OAKDALE,Ranch/Rambler,Detached,2,1,,1,1,No,20000,1956,6,6,5/24/2021,"$355,056 ",
Closed,MDMC751348,615 Douglass Ave,"$350,000 ",LINCOLN PARK,Colonial,Detached,7,3,,2,,No,12350,1945,2,2,4/16/2021,"$355,250 ",
Closed,MDAA454490,517 Cleveland Rd,"$369,900 ",LINTHICUM,Cape Cod,Detached,4,2,,3,1,Yes,7645,1953,4,4,1/15/2021,"$356,000 ",
Closed,MDMC740292,4115 Decatur Ave,"$350,000 ",ROCK CREEK PALISADES,Ranch/Rambler,Detached,2,1,,1,,No,5505,1950,6,6,3/18/2021,"$356,140 ",
Closed,MDMC741118,3303 Janet Rd,"$349,900 ",GLENMONT HILLS,Ranch/Rambler,Detached,3,1,,1,,No,5940,1949,5,5,2/26/2021,"$357,000 ","$7,000 "
Closed,MDPG594852,1005 Montgomery St,"$370,000 ",LAUREL,Colonial,Detached,4,3,,2,1,Yes,8010,1918,39,39,5/5/2021,"$357,000 ",
Closed,MDHW292304,5117 W Running Brook Rd,"$357,000 ",LONG FELLOW,Colonial,Detached,5,3,1,3,1,Yes,14322,1969,0,0,3/26/2021,"$357,000 ",
Closed,MDCR202832,6832 Littlewood Ct,"$340,000 ",BRIMFIELD,Colonial,Detached,3,2,1,3,,Yes,7448,1988,3,3,5/14/2021,"$358,000 ",
Closed,MDAA464904,107 Chalmers Ave,"$359,000 ",FERNDALE FARMS,Raised Ranch/Rambler,Detached,3,2,,2,1,Yes,8000,1957,6,6,6/4/2021,"$359,000 ",
Closed,MDAA464362,215 Ridgely Rd,"$359,000 ",GLEN BURNIE PARK,Split Level,Detached,4,1,1,3,,No,11800,1956,4,4,4/30/2021,"$359,000 ",
Closed,MDAA461402,8098 Spaulding Cir,"$349,900 ",STEVENSON PARK,Split Level,Detached,4,2,,2,1,Yes,8590,1971,23,23,5/10/2021,"$360,000 ","$14,400 "
Closed,MDAA465974,7867 Bastille Pl,"$349,900 ",THE PROVINCES,Split Foyer,Detached,4,1,1,2,1,No,6247,1976,5,5,5/28/2021,"$360,000 ",
Closed,MDAA462862,1909 Cuire Dr,"$340,000 ",THE PROVINCES,Split Foyer,Detached,5,2,,2,1,Yes,6000,1975,6,6,4/30/2021,"$360,000 ",
Closed,MDAA455844,7727 Siden Dr,"$360,000 ",HARMANS WOODS,Split Foyer,Detached,4,2,,2,,Yes,6730,1984,6,6,2/25/2021,"$360,000 ",
Closed,MDMC740960,12116 Valleywood Dr,"$360,000 ",CONN AVE ESTATES,Ranch/Rambler,Detached,3,1,,1,,No,9026,1953,11,11,4/30/2021,"$360,000 ","$5,135 "
Closed,MDPG593684,409 Compton Ave,"$355,000 ",LAUREL,Cape Cod,Detached,4,2,,2,,Yes,6500,1944,29,29,3/24/2021,"$360,000 ","$10,800 "
Closed,MDAA462972,409 Ferndale Ave,"$354,900 ",FERNDALE FARMS,Cape Cod,Detached,3,3,,3,1,Yes,6000,1956,23,23,6/11/2021,"$360,000 ",
Closed,MDAA458230,115 Maple Ave,"$359,999 ",GARLAND PARK,Split Level,Detached,3,3,,2,,Yes,10120,2002,3,3,4/1/2021,"$360,000 ",
Closed,MDPG598340,13207 Claxton Dr,"$359,900 ",SNOWDEN OAKS,Ranch/Rambler,Detached,3,2,,1,,No,11250,1968,21,21,4/27/2021,"$360,000 ","$5,400 "
Closed,MDAA456136,510 Oakton Rd,"$360,000 ",BONAVENTURE NORTH,Ranch/Rambler,Detached,4,3,,2,1,Yes,7894,1993,1,1,1/5/2021,"$360,000 ",
Closed,MDHW290262,2445 Thompson Dr,"$360,000 ",NONE AVAILABLE,Ranch/Rambler,Detached,3,2,,2,1,Yes,47480,1950,4,4,3/3/2021,"$360,000 ",
Closed,MDHW289162,6021 Hunt Club Rd,"$360,000 ",NONE AVAILABLE,Cape Cod,Detached,3,3,,3,1,Yes,23422,1951,33,33,3/25/2021,"$360,000 ",
Closed,MDAA464598,14 S 1st Ave S,"$324,900 ",CROMWELL MANOR,Cape Cod,Detached,4,3,,3,1,Yes,9375,1958,4,4,5/14/2021,"$360,000 ",
Closed,MDPG592884,6105 Windham Rd,"$359,000 ",WEST LAUREL ACRES,Split Level,Detached,3,1,1,3,1,Yes,20700,1957,7,7,3/8/2021,"$360,000 ",
Closed,MDHW293000,8025 Red Jacket Way,"$370,000 ",GREENBRIAR,Split Level,Detached,3,2,,3,1,Yes,6969,1981,8,8,5/27/2021,"$360,000 ",
Closed,MDPG589798,907 Carroll Ave,"$399,900 ",LAUREL GARDENS,Ranch/Rambler,Detached,4,1,,1,1,No,5500,2000,14,14,1/15/2021,"$360,000 ",
Closed,MDAA459422,209 Oakleigh Ave,"$349,900 ",FERNDALE FARMS,Cape Cod,Detached,3,2,1,2,,Yes,8310,1955,12,12,4/6/2021,"$360,000 ","$10,800 "
Closed,MDAA457604,1923 Foxhound Ct,"$339,000 ",THE PROVINCES,Cape Cod,Detached,4,2,,2,,No,2,1972,7,7,4/16/2021,"$360,000 ",
Closed,MDBC515982,1106 Plover Dr,"$375,000 ",WYNNEWOOD,Split Level,Detached,3,1,1,3,,No,7883,1955,7,7,2/12/2021,"$360,000 ",
Closed,MDHW289158,5639 Thelo Garth,"$327,750 ",VILLAGE OF LONG REACH,"Bi-Level, Split Level",Detached,3,2,0,2,,Yes,8866,1972,27,27,2/11/2021,"$360,900 ",
Closed,MDMC744248,10300 Insley St,"$379,000 ",CARROLL KNOLLS,Ranch/Rambler,Detached,3,2,,1,1,Yes,6558,1951,1,1,3/3/2021,"$361,000 ",
Closed,MDMC745218,4413 Bayne St,"$361,000 ",WHEATON WOODS,Raised Ranch/Rambler,Detached,3,2,,2,,Yes,7068,1952,0,0,3/18/2021,"$361,000 ",
Closed,MDCR201502,1406 Carroll Ct,"$349,900 ",WOODBINE ACRES,Split Foyer,Detached,4,2,,2,1,Yes,40946.4,1976,9,9,2/10/2021,"$361,000 ","$11,300 "
Closed,MDHW288456,7122 Honeyladen Pl,"$370,000 ",ELKHORN,Split Level,Detached,3,2,0,3,,No,5967,1975,4,4,1/14/2021,"$361,000 ",
Closed,MDCR204786,6604 Stirrup Ct,"$335,000 ",HILLTOP,Split Foyer,Detached,3,1,1,2,,Yes,9888,1981,3,3,6/25/2021,"$362,000 ",
Closed,MDFR281054,1011 Crown St,"$369,000 ",MT AIRY VILLAGE,Split Foyer,Detached,3,2,,2,,Yes,6969,1986,4,4,5/17/2021,"$362,000 ",
Closed,MDCR204342,101 Maple Ave,"$300,000 ",MOUNT AIRY,Cape Cod,Detached,3,1,1,3,0,Yes,11396,1985,6,6,6/18/2021,"$362,000 ",
Closed,MDCR202424,408 N Main St,"$349,000 ",MAIN STREET,Cape Cod,Detached,3,2,,3,2,Yes,18234,1949,5,5,4/22/2021,"$362,500 ",
Closed,MDAA453640,1167 Delmont Rd,"$369,999 ",THOMPSON FARMS,Cape Cod,Detached,3,1,,3,,Yes,0.51,1930,13,13,6/14/2021,"$363,000 ","$13,000 "
Closed,MDAA454964,7507 Hollybrook Rd,"$365,970 ",BROOKFIELD NORTH,"Split Foyer, Split Level",Detached,3,2,0,2,1,Yes,8196,1979,3,3,2/2/2021,"$363,970 ","$14,558 "
Closed,MDHW288090,6617 Huntshire Dr,"$369,999 ",NOTTINGHAM VILLAGE,Split Foyer,Detached,3,3,,2,1,Yes,4384,1995,12,12,12/31/2020,"$364,000 ","$4,000 "
Closed,MDAA459096,1301 Damascus St,"$360,000 ",ODENTON GARDENS,Cape Cod,Detached,3,1,1,3,,Yes,12204,1955,4,4,3/31/2021,"$364,500 ",
Closed,MDCR203726,7620 Mellor Ave,"$364,900 ",SYKESVILLE,Colonial,Detached,4,3,1,2,,Yes,16174,1910,32,32,6/15/2021,"$364,900 ",
Closed,MDMC743894,11605 Mapleview Dr,"$378,000 ",CONNECTICUT GARDENS,Ranch/Rambler,Detached,2,2,,2,,Yes,6291,1952,14,14,4/9/2021,"$365,000 ",
Closed,MDCR204362,2429 Flag Marsh Rd,"$304,900 ",NONE AVAILABLE,Ranch/Rambler,Detached,3,1,0,2,1,Yes,34586,1956,3,3,6/21/2021,"$365,000 ",
Closed,MDPG589678,8213 Cypress St,"$364,900 ",OAK CREST,Ranch/Rambler,Detached,3,1,,2,1,Yes,7500,1970,44,44,1/25/2021,"$365,000 ","$11,000 "
Closed,MDAA464620,444 Henryton S,"$342,000 ",MARYLAND CITY,Ranch/Rambler,Detached,3,1,1,2,,Yes,7015,1965,7,7,6/10/2021,"$365,000 ",
Closed,MDAA463854,1857 Quebec St,"$358,000 ",THE PROVINCES,Split Foyer,Detached,4,2,,2,1,Yes,8643,1976,5,13,5/10/2021,"$365,000 ",
Closed,MDPG589438,1147 12th St,"$369,900 ",FAIRLAWN-LAUREL,Ranch/Rambler,Detached,3,2,,2,,Yes,6874,1959,21,21,1/27/2021,"$365,000 ",
Closed,MDPG591598,8207 Cypress St,"$375,500 ",OAK CREST,Cape Cod,Detached,4,2,,3,,Yes,15000,1940,6,6,2/17/2021,"$365,000 ",
Closed,MDBC524098,2209 Pleasant View Ave,"$374,999 ",OELLA,Other,Detached,3,2,,3,1,Yes,15714,1947,8,8,5/28/2021,"$365,000 ","$5,000 "
Closed,MDBC517158,1107 Raven Dr,"$365,000 ",WYNNEWOOD,Split Level,Detached,3,1,1,4,1,Yes,11000,1955,6,6,3/5/2021,"$365,000 ","$1,200 "
Closed,MDHW291356,9466 Greco Garth,"$329,000 ",STEVENS FOREST,Split Level,Detached,3,1,1,3,1,Yes,9095,1973,5,5,4/30/2021,"$365,318 ",
Closed,MDPG604154,8519 Catalpa St,"$366,000 ",OAK CREST,Colonial,Detached,4,2,,2,,Yes,22500,1950,19,19,6/1/2021,"$366,000 ",
Closed,MDAA453882,519 Oakton Rd,"$366,000 ",BONAVENTURE,Ranch/Rambler,Detached,3,2,,2,,Yes,9185,1993,3,3,1/8/2021,"$366,000 ",
Closed,MDPG593066,8405 Spruce Hill Dr,"$360,000 ",OAK CREST,Ranch/Rambler,Detached,3,1,,2,,Yes,13500,1966,10,10,3/12/2021,"$366,000 ","$10,980 "
Closed,MDAA459946,210 4th Ave SW,"$355,000 ",GLEN BURNIE,Colonial,Detached,3,2,2,3,,Yes,7500,1922,5,5,4/9/2021,"$367,000 ",
Closed,MDAA463752,223 Sycamore Rd,"$375,000 ",LINTHICUM HEIGHTS,Cape Cod,Detached,3,2,,3,1,Yes,11250,1953,3,3,5/14/2021,"$367,500 ",
Closed,MDAA462540,1938 Stone Castle Dr,"$380,000 ",THE PROVINCES,Split Foyer,Detached,4,1,1,2,,No,6662,1972,13,13,4/30/2021,"$369,000 ","$10,709 "
Closed,MDMC755052,1918 Rockland Ave,"$369,000 ",ROCKLAND,Bungalow,Detached,3,1,,1,,No,7200,1952,9,9,6/1/2021,"$369,000 ",
Closed,MDMC746236,4100 Denfeld Ave,"$358,000 ",ROCK CREEK PALISADES,Ranch/Rambler,Detached,2,1,,1,,No,5754,1952,4,4,4/1/2021,"$370,000 ",
Closed,MDAA458440,3393 Sudlersville S,"$364,900 ",MARYLAND CITY,Ranch/Rambler,Detached,6,2,,2,,Yes,8340,1963,6,6,3/26/2021,"$370,000 ","$8,000 "
Closed,MDPG604486,210 11th St,"$364,900 ",LAUREL,Split Level,Detached,3,2,,2,1,Yes,7500,1977,6,6,5/26/2021,"$370,000 ","$1,500 "
Closed,MDMC754154,11613 Gail Pl,"$360,000 ",COLESVILLE GARDENS,Ranch/Rambler,Detached,3,1,,1,,No,10095,1952,14,14,6/4/2021,"$370,000 ",
Closed,MDHW292724,10114 Stansfield Rd,"$359,900 ",HIGH RIDGE,Ranch/Rambler,Detached,4,2,,1,,Yes,11250,1962,21,21,5/31/2021,"$370,000 ",
Closed,MDMC746196,2803 Sheraton St,"$345,000 ",GLENMONT VILLAGE,Bungalow,Detached,2,1,,1,,No,6890,1950,7,7,6/4/2021,"$370,000 ",
Closed,MDHW289206,9332 Ripplestir Pl,"$370,000 ",VILLAGE OF OWEN BROWN,Split Foyer,Detached,3,2,,2,,Yes,7666,1976,6,6,2/26/2021,"$370,000 ",
Closed,MDAA465082,223 Old Line Ave,"$369,900 ",MARYLAND CITY,Ranch/Rambler,Detached,6,2,,2,,Yes,7800,1962,5,5,6/15/2021,"$370,000 ","$2,500 "
Closed,MDAA457030,3506 Serene Ct,"$349,900 ",BROCK BRIDGE ESTATES,Split Foyer,Detached,4,3,,2,,Yes,13186,1992,2,2,3/12/2021,"$370,000 ","$4,000 "
Closed,MDAA460106,1147 Delmont Rd,"$359,900 ",THOMPSON FARMS,Colonial,Detached,3,2,,2,,Yes,22651,1930,23,23,5/28/2021,"$370,000 ","$5,000 "
Closed,MDAA462260,548 Crestpark Dr,"$350,000 ",RIPPLING ESTATES,Split Level,Detached,3,1,1,4,1,Yes,7800,1967,7,7,4/29/2021,"$370,000 ",
Closed,MDAA454878,1458 Virginia Ave,"$359,000 ",CEDARHURST,Ranch/Rambler,Detached,3,2,0,2,1,Yes,20473,1957,21,21,3/19/2021,"$370,000 ",
Closed,MDMC739758,2805 Byron St,"$340,000 ",WHEATON HILLS,Cape Cod,Detached,4,2,0,3,1,Yes,6428,1949,6,6,1/29/2021,"$370,000 ",
Closed,MDAA455186,392 Phirne Rd W,"$355,000 ",GLEN BURNIE PARK,Split Level,Detached,4,1,1,3,,Yes,7345,1964,4,4,2/19/2021,"$370,000 ",
Closed,MDHW288214,9251 Feathered Head,"$359,990 ",OWEN BROWN,Colonial,Detached,3,2,0,2,0,No,6464,1977,4,22,1/7/2021,"$370,000 ",
Closed,MDAA462222,7864 Chalice Rd,"$370,000 ",THE PROVINCES,Ranch/Rambler,Detached,4,2,,1,,No,12413,1974,6,6,4/23/2021,"$370,000 ","$11,100 "
Closed,MDMC748192,19028 Montgomery Village Ave,"$349,900 ",CENTERSTAGE,Colonial,Detached,3,3,1,3,,Yes,2072,1972,4,4,4/15/2021,"$370,000 ",
Closed,MDFR276724,9 Walden Way,"$365,000 ",MT AIRY VILLAGE,Split Level,Detached,3,2,,4,,Yes,5227,1986,0,0,3/8/2021,"$370,000 ","$5,000 "
Closed,MDAA457892,501 Rita Dr,"$350,000 ",ODENTON HEIGHTS,Split Level,Detached,3,2,,2,,Yes,19431,1956,1,1,3/3/2021,"$370,000 ",
Closed,MDAA467492,7722 Acrocomia Dr,"$375,500 ",HARMANS WOODS SOUTH,Split Foyer,Detached,3,2,,2,,Yes,8510,1985,5,5,6/11/2021,"$371,000 ",
Closed,MDHW293184,7154 Harp String,"$359,900 ",VILLAGE OF OWEN BROWN,Ranch/Rambler,Detached,3,2,1,1,1,Yes,3746,1980,5,5,5/21/2021,"$372,000 ","$3,000 "
Closed,MDAA457272,7985 Nolcrest Rd,"$375,000 ",RIPPLING ESTATES,Ranch/Rambler,Detached,3,2,1,2,,Yes,6510,1967,6,6,3/22/2021,"$372,000 ",
Closed,MDAA461944,362 Dameron S,"$360,000 ",MARYLAND CITY,Ranch/Rambler,Detached,3,3,,1,1,Yes,8700,1964,3,3,4/28/2021,"$372,000 ",
Closed,MDAA459594,997 Big Baer Dr,"$360,000 ",WELLHAM HEIGHTS,Colonial,Detached,3,2,1,3,,Yes,9381,1985,5,5,4/6/2021,"$372,000 ",
Closed,MDBC526280,2008 Norhurst Way S,"$372,500 ",NONE AVAILABLE,Ranch/Rambler,Detached,3,1,1,1.5,,Yes,6250,1952,4,4,5/27/2021,"$372,500 ",
Closed,MDPG591264,8711 Locust Grove Dr,"$375,000 ",OAK CREST,Split Foyer,Detached,4,2,,2,,Yes,5279,1992,1,1,1/29/2021,"$375,000 ","$5,625 "
Closed,MDMC739870,3317 Camden St,"$375,000 ",CONN AVE ESTATES,Ranch/Rambler,Detached,4,2,,2,,Yes,7200,1952,4,4,2/5/2021,"$375,000 ",
Closed,MDCR204150,716 Merry Go Round Way,"$350,000 ",WILDWOOD PARK,Ranch/Rambler,Detached,3,2,1,2,,Yes,4263,2000,4,4,5/28/2021,"$375,000 ",
Closed,MDAA458904,700 Mayo Rd,"$364,900 ",GLEN BURNIE PARK,Split Level,Detached,3,2,,4,,Yes,7840,1959,6,6,5/27/2021,"$375,000 ",
Closed,MDAA463604,39 Mapledale Ave,"$375,000 ",WOODLAWN HEIGHTS,"Raised Ranch/Rambler, Ranch/Rambler",Detached,4,2,,1,,Yes,8712,1958,6,6,5/4/2021,"$375,000 ",
Closed,MDHW290070,9048 Old Scaggsville Rd,"$375,000 ",NONE AVAILABLE,Ranch/Rambler,Detached,3,2,,1.5,,Yes,43560,1940,6,6,3/2/2021,"$375,000 ",
Closed,MDCR201440,5909 Forest Ct,"$375,000 ",NONE AVAILABLE,Split Foyer,Detached,4,2,0,2,1,Yes,15495,1972,16,16,2/2/2021,"$375,000 ","$7,500 "
Closed,MDHW292174,9239 Moonfire Pl,"$365,000 ",OWEN BROWN VILLAGE,Colonial,Detached,3,1,1,3,1,Yes,5967,1976,7,7,6/21/2021,"$375,000 ",
Closed,MDAA455642,621 Old Stage Rd,"$375,000 ",GLEN BURNIE PARK,Ranch/Rambler,Detached,5,2,,2,,Yes,6600,1956,7,7,1/29/2021,"$375,000 ",
Closed,MDHW291898,7145 Bright Soul,"$360,000 ",VILLAGE OF OWEN BROWN,Split Level,Detached,3,2,0,4,,Yes,3789,1980,3,3,4/29/2021,"$375,000 ",
Closed,MDHW292660,6038 Waterloo Rd,"$390,000 ",COLUMBIA,Ranch/Rambler,Detached,3,2,,1,,No,24175,1948,28,28,6/21/2021,"$375,000 ",
Closed,MDHW291350,9354 Torrent Row,"$360,000 ",STEVENS FOREST,Contemporary,Detached,3,2,,1,1,No,11471,1971,6,6,4/29/2021,"$375,000 ","$8,000 "
Closed,MDAA456552,1905 Armor Ct,"$375,000 ",THE PROVINCES,Colonial,Detached,3,2,1,2,,No,7572,1976,4,4,2/17/2021,"$375,000 ",$
Closed,MDPG595316,411 Laurel Ave,"$375,000 ",HISTORIC LAUREL,Colonial,Detached,2,2,1,2,,No,9750,1894,9,9,3/17/2021,"$375,000 ","$15,000 "
Closed,MDAA453476,3342 Old Line Ave,"$380,000 ",MARYLAND CITY,Ranch/Rambler,Detached,4,2,1,2,1,Yes,8395,1965,31,31,1/29/2021,"$375,000 ","$11,250 "
Closed,MDAA454112,7532 Knoll Acres Rd,"$375,000 ",GREENBRIAR,Colonial,Detached,3,2,1,3,,Yes,5247,1989,7,7,1/15/2021,"$375,000 ",
Closed,MDPG606972,8608 Contee Rd,"$359,900 ",BRIARWOOD,Other,Detached,3,2,,1,1,No,14401,1965,5,5,6/24/2021,"$375,000 ",
Closed,MDMC736118,17710 Striley Dr,"$350,000 ",EDNOR HIGHLANDS,Traditional,Detached,2,1,,2,,Yes,39568,1875,3,3,12/30/2020,"$375,000 ",
Closed,MDCR203836,1007 Balsam Ln,"$350,000 ",PINEY RIDGE VILLAGE,Split Level,Detached,3,1,1,3,,Yes,3920,1984,4,4,6/8/2021,"$375,000 ",
Closed,MDAA463714,310 Ridgely Rd,"$365,000 ",GLEN BURNIE PARK,Split Level,Detached,4,2,1,3,1,Yes,8200,1957,12,12,6/18/2021,"$375,000 ",
Closed,MDAA461918,104 Oak Ln NW,"$359,000 ",OLDE GLEN BURNIE,Traditional,Detached,3,2,0,3,,Yes,6000,1920,5,5,4/23/2021,"$375,000 ","$6,000 "
Closed,MDMC753524,5 Montgomery Ave,"$375,000 ",REALTY PARK,"Colonial, Traditional",Detached,4,1,1,3,1,Yes,13050,1924,36,36,6/17/2021,"$375,000 ",
Closed,MDHW289186,5818 Hunt Club Rd,"$399,999 ",TIMBERVIEW,Colonial,Detached,6,3,1,4,1,Yes,23827,1936,8,8,3/22/2021,"$375,000 ",
Closed,MDMC736848,13121 Superior St,"$379,900 ",BROOKHAVEN,Ranch/Rambler,Detached,3,1,,1,,No,7200,1955,16,16,1/29/2021,"$376,000 ","$2,200 "
Closed,MDAA460978,45 Forestdale Ave,"$376,000 ",WOODLAWN HEIGHTS,Raised Ranch/Rambler,Detached,4,2,,2,,Yes,17424,1963,5,5,4/19/2021,"$376,000 ",
Closed,MDAA452164,1420 Virginia Ave,"$376,000 ",CEDARHURST,Ranch/Rambler,Detached,3,2,,1,1,No,10400,1955,33,33,2/24/2021,"$376,000 ","$14,000 "
Closed,MDAA465350,120 Patricia Ave,"$358,000 ",LINTHICUM HEIGHTS,"Bungalow, Split Foyer",Detached,4,2,0,2,2,Yes,7210,1961,4,4,6/17/2021,"$377,500 ",
Closed,MDAA466118,216 Allwood Dr,"$350,000 ",ALLWOOD,Ranch/Rambler,Detached,4,3,,2,,Yes,6600,1986,5,5,6/4/2021,"$378,000 ",
